./checkpoint/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
ADM,87.09166666666667,98.91569275134526
DALLE2,94.3,99.51206305537066
Glide,93.075,98.62805317796021
Midjourney,91.68333333333332,99.62373841168805
VQDM,93.8,99.49815012163225
biggan,90.625,96.74675244231022
cyclegan,95.72293716881151,99.5329378437051
gaugan,95.67999999999999,99.2171595190585
progan,100.0,100.0
stable_diffusion_v_1_4,99.53333333333333,99.96644840236759
stable_diffusion_v_1_5,99.44375,99.92612501182053
stargan,100.0,100.0
stylegan,99.61609080287097,99.99690059699692
stylegan2,99.84351527290937,99.99972419741167
whichfaceisreal,70.55,89.14910804392478
wukong,99.05833333333334,99.91726767610592
mean,94.37643499445366,98.78938257823111
