./checkpoint/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
ADM,87.09166666666667,98.91569275134526
BigGAN,96.325,99.70605594252491
Midjourney,91.68333333333332,99.62373841168805
VQDM,93.8,99.49815012163225
glide,93.075,98.62805317796021
stable_diffusion_v_1_4,99.53333333333333,99.96644840236759
stable_diffusion_v_1_4_noise,78.34791666666666,89.19724165439727
stable_diffusion_v_1_5,99.44375,99.92612501182053
wukong,99.05833333333334,99.91726767610592
mean,93.15092592592593,98.37541923887134
